539350;2252940;0.21;2
623439;2273102;0.04;1
594149;2284949;0.32;3
578529;2269793;0.41;3
535808;2252626;0.44;3
537460;2251040;0.56;3
512950;2260580;0.26;2
474758;2265035;0.86;3
517120;2092270;0.45;3
479610;2097280;0.44;3
471000;2113910;0.52;3
474290;2157370;0.44;3
470110;2175790;0.01;1
447860;2177250;1.31;4
462940;2203400;0.14;2
519812;2181921;0.47;3
492840;2132490;0.05;1
496880;2139950;0.51;3
491850;2143610;0.32;3
487231;2159187;0.19;2
491867;2182115;0.45;3
475637;2213482;1.16;4
463888;2229317;0.25;2
417500;2254210;0.26;2
384380;2272700;0.35;3
453780;2391847;0.29;2
425177;2378957;0.43;3
415770;2373090;0.26;2
436100;2360620;0.06;1
441265;2345584;0.51;3
440210;2336700;0.15;2
468900;2387200;0.24;2
484020;2382000;0.52;3
476480;2360070;0.66;3
455995;2339811;0.62;3
436167;2325994;0.21;2
427410;2324230;0.31;3
407969;2324113;0.47;3
400270;2318750;0.19;2
398230;2325580;0.89;3
396100;2315060;0.29;2
512720;2357450;0.06;1
531630;2350680;0.2;2
524460;2341900;0.08;1
519535;2337402;0.3;3
517690;2333570;0.01;1
491576;2307620;0.01;1
488227;2324627;0.19;2
460688;2302893;0.44;3
436590;2296670;0.07;1
419030;2302360;0.13;2
406150;2299850;0.25;2
378760;2403000;0.44;3
380650;2370770;0.64;3
383530;2376370;1.04;4
368520;2356500;1.04;4
368510;2345870;0.25;2
370430;2339270;0.31;3
373190;2341550;1.43;4
372720;2317530;0.2;2
373640;2303230;0.16;2
356130;2331280;1.1;4
353720;2321560;0.24;2
355480;2313370;0.64;3
351050;2314630;0.72;3
359480;2303380;0.07;1
382180;2279320;0.36;3
381470;2278530;0.39;3
652080;1837620;0.01;1
657076;1818039;0.43;3
663380;1846460;0.78;3
670800;1815521;7.53;5
705556;1898369;0.48;3
701900;1887534;0.21;2
824640;1884010;0.72;3
491825;1876248;0.61;3
606010;2420250;0.61;3
733210;2394760;0.81;3
602730;2393320;0.14;2
663190;2381000;1.1;4
631760;2433450;1.03;4
747820;2441200;0.26;2
678057;2449226;2.11;4
587360;2432780;20.37;6
610950;2401680;1.79;4
641590;2405700;0.52;3
609104;2473166;0.6;3
633390;2370970;0.68;3
617510;2429640;1.39;4
658150;2439160;1.08;4
591000;2458090;23.26;6
555260;2444090;4.69;5
639910;2439340;2.7;4
623890;2392880;3.1;5
714790;2390970;0.57;3
645660;2376950;1.9;4
600350;2407670;0.53;3
602130;2427230;1.09;4
582390;2448480;20.61;6
692940;2392410;3.95;5
615580;2393150;1.47;4
634900;2376810;4.24;5
731040;2368490;0.15;2
729110;2369310;0.17;2
538080;2455570;3.33;5
691370;2325680;0.38;3
757400;2379150;0.79;3
765680;2413950;1.01;4
768479;2418840;1.37;4
695100;2332500;0.95;3
689700;2320470;0.48;3
456402;2075972;0.35;3
452281;2069845;0.42;3
438184;2128339;0.36;3
432590;2099756;0.25;2
428895;2075394;3.29;5
404406;2078456;9.7;5
384910;2080045;3.09;5
375270;2068570;11.23;6
369245;2087325;2.55;4
365735;2102205;2.2;4
389020;2125135;35.57;7
385225;2116390;22.99;6
370495;2110135;3.79;5
391545;2080141;4.94;5
345920;2080135;2.43;4
378005;2108090;8.27;5
364485;2111795;2.59;4
382935;2052800;29.53;6
361330;2067335;17.99;6
359320;2071750;16.77;6
351500;2076755;8.62;5
368340;2097190;2.27;4
344980;2110440;2.16;4
425998;2080774;0.94;3
861700;1815000;0.33;3
865347;1822013;0.54;3
872899;1825636;0.02;1
872100;2141630;0.67;3
880190;2133593;2.49;4
788920;2107320;1.25;4
861725;2084750;1.34;4
813120;2159370;0.62;3
824720;2104820;0.28;2
833750;2102250;0.95;3
832100;2120772;0.13;2
831330;2122640;0.51;3
868970;2119350;1.05;4
832150;2110480;0.14;2
845870;2027840;0.46;3
830626;2247740;0.36;3
813614;2233470;1.14;4
817903;2257400;0.58;3
810400;2255600;0.12;2
828887;2273690;0.57;3
902300;2267780;2.31;4
935412;2280685;0.56;3
879519;2255512;2.21;4
895452;2235718;0.67;3
933350;2284850;2.01;4
889095;2240992;0.65;3
906870;2216910;0.67;3
954131;2271037;0.48;3
936881;2265720;0.51;3
934065;2287310;0.99;3
948907;2262673;0.46;3
803300;2005160;1.03;4
